,Min.,1st Qu,Median,Mean,3rd Qu,Max.
fixed acidity,3.8,6.4,7,7.215307065,7.7,15.9
volatile acidity,0.08,0.23,0.29,0.339666,0.4,1.58
citric acid,0,0.25,0.31,0.318633215,0.39,1.66
residual sugar,0.6,1.8,3,5.443235339,8.1,65.8
chlorides,0.009,0.038,0.047,0.056033862,0.065,0.611
free sulfur dioxide,1,17,29,30.52531938,41,289
total sulfur dioxide,6,77,118,115.7445744,156,440
density,0.98711,0.99234,0.99489,0.994696634,0.99699,1.03898
pH,2.72,3.11,3.21,3.218500847,3.32,4.01
sulphates,0.22,0.43,0.51,0.531268278,0.6,2
alcohol,8,9.5,10.3,10.49180083,11.3,14.9
